spoke_id,spoke_name,spoke_type,nearest_candidate_hub_id,nearest_candidate_hub_name,nearest_candidate_hub_level,nearest_candidate_hub_ownership,nearest_candidate_hub_subregion,nearest_candidate_distance_km,nearest_candidate_distance_band,nearest_candidate_service_score,nearest_candidate_readiness
SPOKE_0097,Kiganda HC IV,existing_nbs,HF0615,Kiganda HC IV,HC IV,Government,NORTH BUGANDA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0098,Kigandalo HC IV,existing_nbs,HF1515,Kigandalo HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0099,Kiruddu,existing_nbs,HF0216,Kiruddu,NR Hospital,Government,KAMPALA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0100,Kiryandongo HOSPITAL,existing_nbs,HF3019,Kiryandongo HOSPITAL,General Hospital,Government,BUNYORO,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0103,Kitgum HOSPITAL,existing_nbs,HF2124,Kitgum HOSPITAL,General Hospital,Government,ACHOLI,0,0_to_25_km,4,full_hub_score_4
SPOKE_0104,Kitgum HOSPITAL,existing_nbs,HF2124,Kitgum HOSPITAL,General Hospital,Government,ACHOLI,0,0_to_25_km,4,full_hub_score_4
SPOKE_0105,Kiyunga HC IV,existing_nbs,HF1475,Kiyunga HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0106,Koboko Hospital,existing_nbs,HF2145,Koboko Hospital,General Hospital,Government,WEST NILE,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0107,Kumi HC IV,existing_nbs,HF1419,Kumi HC IV,HC IV,Government,TESO,0,0_to_25_km,0,not_ready_score_0
SPOKE_0110,Lalogi HC IV,existing_nbs,HF2057,Lalogi HC IV,HC IV,Government,ACHOLI,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0111,Lira REGIONAL REF HOSPITAL,existing_nbs,HF2206,Lira REGIONAL REF HOSPITAL,RR Hospital,Government,LANGO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0113,Lubaga HOSPITAL,existing_nbs,HF0281,Lubaga HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0115,Lwala HOSPITAL,existing_nbs,HF1276,Lwala HOSPITAL,General Hospital,Private Not For Profit,TESO,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0117,Lyantonde HOSPITAL,existing_nbs,HF0465,Lyantonde HOSPITAL,General Hospital,Government,SOUTH BUGANDA,0,0_to_25_km,4,full_hub_score_4
SPOKE_0120,Masaka REGIONAL REF HOSPITAL,existing_nbs,HF0494,Masaka REGIONAL REF HOSPITAL,RR Hospital,Government,SOUTH BUGANDA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0122,Mengo HOSPITAL,existing_nbs,HF0282,Mengo HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0124,Mityana HOSPITAL,existing_nbs,HF0550,Mityana HOSPITAL,General Hospital,Government,NORTH BUGANDA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0125,Mpigi   HC IV,existing_nbs,HF0583,Mpigi HC IV,HC IV,Government,SOUTH BUGANDA,0,0_to_25_km,0,not_ready_score_0
SPOKE_0126,Mubende RR HOSPITAL,existing_nbs,HF0650,Mubende RR HOSPITAL,RR Hospital,Government,NORTH BUGANDA,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0133,Naguru  Hospital  - China Uganda Friendship,existing_nbs,HF0264,Naguru Hospital - China Uganda Friendship,RR Hospital,Government,KAMPALA,0,0_to_25_km,0,not_ready_score_0
SPOKE_0134,Nakaseke HOSPITAL,existing_nbs,HF0718,Nakaseke HOSPITAL,General Hospital,Government,NORTH BUGANDA,0,0_to_25_km,4,full_hub_score_4
SPOKE_0135,Nakasongola HC IV,existing_nbs,HF0752,Nakasongola HC IV,HC IV,Government,NORTH BUGANDA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0139,Namwendwa HC IV,existing_nbs,HF1340,Namwendwa HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0140,Nankoma HC IV,existing_nbs,HF1063,Nankoma HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,0,not_ready_score_0
SPOKE_0143,Ngora Gvt HC IV,existing_nbs,HF1595,Ngora Gvt HC IV,HC IV,Government,TESO,0,0_to_25_km,0,not_ready_score_0
SPOKE_0144,Ngora Ngo HOSPITAL,existing_nbs,HF1591,Ngora Ngo HOSPITAL,General Hospital,Private Not For Profit,TESO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0145,Nsinze HC IV,existing_nbs,HF1583,Nsinze HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0019,Ogur HC IV,collocated_candidate_nbs,HF2228,Ogur HC IV,HC IV,Government,LANGO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0149,PAG Mission HC IV,existing_nbs,HF2222,PAG Mission HC IV,HC IV,Private Not For Profit,LANGO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0150,Pajule HC IV,existing_nbs,HF2428,Pajule HC IV,HC IV,Government,ACHOLI,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0151,Pallisa HOSPITAL,existing_nbs,HF1617,Pallisa HOSPITAL,General Hospital,Government,BUKEDI,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0027,Patongo HC III,collocated_candidate_nbs,HF1856,Patongo HC III,HC IV,Government,ACHOLI,0,0_to_25_km,0,not_ready_score_0
SPOKE_0153,Rugazi HC IV,existing_nbs,HF3255,Rugazi HC IV,HC IV,Government,ANKOLE,0,0_to_25_km,0,not_ready_score_0
SPOKE_0155,Serere HC IV,existing_nbs,HF1643,Serere HC IV,HC IV,Government,TESO,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0156,Soroti REGIONAL REF HOSPITAL,existing_nbs,HF1698,Soroti REGIONAL REF HOSPITAL,RR Hospital,Government,TESO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0159,St. Francis Nsambya HOSPITAL,existing_nbs,HF0204,St. Francis Nsambya HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0161,St. Mary's Hospital Lacor,existing_nbs,HF2029,St. Mary's Hospital Lacor,General Hospital,Private Not For Profit,ACHOLI,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0167,Tororo General HOSPITAL,existing_nbs,HF1752,Tororo General HOSPITAL,General Hospital,Government,BUKEDI,0,0_to_25_km,4,full_hub_score_4
SPOKE_0168,Villa Maria HOSPITAL,existing_nbs,HF0093,Villa Maria HOSPITAL,General Hospital,Private Not For Profit,SOUTH BUGANDA,0,0_to_25_km,4,full_hub_score_4
SPOKE_0166,TASO Soroti CLINIC,existing_nbs,HF1698,Soroti REGIONAL REF HOSPITAL,RR Hospital,Government,TESO,0.197,0_to_25_km,1,weak_hub_score_1
SPOKE_0152,Rakai Health Sciences Program CLINIC,existing_nbs,HF0777,Kalisizo HOSPITAL,General Hospital,Government,SOUTH BUGANDA,0.298,0_to_25_km,4,full_hub_score_4
SPOKE_0163,TASO Gulu Clinic,existing_nbs,HF2067,Gulu Regional Referal Hospital,RR Hospital,Government,ACHOLI,0.452,0_to_25_km,1,weak_hub_score_1
SPOKE_0037,Alive Medical Services HC III,existing_nbs,HF0202,International Hospital Kampala (IHK),General Hospital,Private For Profit,KAMPALA,0.511,0_to_25_km,0,not_ready_score_0
SPOKE_0121,Mbale REGIONAL REF HOSPITAL,existing_nbs,HF1532,Cure Children's Hospital,General Hospital,Private Not For Profit,BUGISU,0.569,0_to_25_km,1,weak_hub_score_1
SPOKE_0065,Buwenge HC IV,existing_nbs,HF1234,Buwenge NGO Hospital,General Hospital,Private Not For Profit,BUSOGA,0.605,0_to_25_km,1,weak_hub_score_1
SPOKE_0160,"St. Francis,  HC III",existing_nbs,HF0550,Mityana HOSPITAL,General Hospital,Government,NORTH BUGANDA,0.849,0_to_25_km,2,partial_hub_score_2
