spoke_id,candidate_facility_id,candidate_distance_km,spoke_name,spoke_type,assigned_hub_id,assigned_hub_name,assigned_distance_km,route_feasibility,facility_name,facility_level,ownership,subregion,longitude,latitude,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub
SPOKE_0118,HF0540,22.4,Magala HC III,existing_nbs,HF0550,Mityana HOSPITAL,3.15,partial,Kyantungo HC IV,HC IV,Government,NORTH BUGANDA,32.02506,0.585167,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0118,HF0560,15,Magala HC III,existing_nbs,HF0550,Mityana HOSPITAL,3.15,partial,Ssekanyonyi HC IV,HC IV,Government,NORTH BUGANDA,32.14177,0.50056,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0077,HF1130,17.8,Kadama HC III,existing_nbs,HF0998,Budaka HC IV,7.322,partial,Kabasa Memorial HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,34.0327,0.95557,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0077,HF1405,10.2,Kadama HC III,existing_nbs,HF0998,Budaka HC IV,7.322,partial,Kibuku HC IV,HC IV,Government,BUKEDI,33.79967,1.05046,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0077,HF1600,20.4,Kadama HC III,existing_nbs,HF0998,Budaka HC IV,7.322,partial,Butebo HC IV,HC IV,Government,BUKEDI,33.918499,1.201598,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0140,HF1063,0,Nankoma HC IV,existing_nbs,HF1515,Kigandalo HC IV,9.553,partial,Nankoma HC IV,HC IV,Government,BUSOGA,33.678343,0.454007,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0140,HF1165,21.3,Nankoma HC IV,existing_nbs,HF1515,Kigandalo HC IV,9.553,partial,Busesa HC IV,HC IV,Government,BUSOGA,33.59166,0.62609,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0130,HF1130,1.7,Nabiganda HC III,existing_nbs,HF0998,Budaka HC IV,9.864,partial,Kabasa Memorial HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,34.0327,0.95557,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0130,HF1532,20,Nabiganda HC III,existing_nbs,HF0998,Budaka HC IV,9.864,partial,Cure Children's Hospital,General Hospital,Private Not For Profit,BUGISU,34.171724,1.073644,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0130,HF1533,20.2,Nabiganda HC III,existing_nbs,HF0998,Budaka HC IV,9.864,partial,Namatala HC IV,HC IV,Government,BUGISU,34.16483,1.085432,0,0,0,0,0,1,not_ready_score_0,FALSE
